,avg,std,min,max
0,159.003,8.189443876112712,136.0,191.0
1,164.88,6.809963289181522,146.0,192.0
2,170.082,6.660275970258289,151.0,195.0
3,175.16,6.1312641437145725,157.0,191.0
4,179.842,5.946346441303264,163.0,197.0
5,183.772,5.122891371091134,169.0,198.0
6,187.599,4.913471176266327,170.0,201.0
7,191.198,4.995077176580958,176.0,209.0
8,194.444,5.496622963238428,177.0,218.0
9,198.172,5.65918863442455,178.0,218.0
10,202.27,5.607949714467846,183.0,221.0
11,206.028,5.680776003329123,191.0,226.0
12,209.806,5.493847831893418,192.0,226.0
13,213.174,5.410334924937643,195.0,228.0
14,216.743,5.280620323408984,199.0,231.0
15,219.881,4.854568878901607,205.0,233.0
16,222.891,4.928602134479918,197.0,236.0
17,226.111,4.661403114942967,207.0,240.0
18,228.459,4.724015135454162,212.0,241.0
19,231.479,4.38423984289181,213.0,244.0
20,234.144,4.393320384401757,216.0,246.0
21,236.456,4.413169382654601,222.0,251.0
22,239.387,4.339727065150526,221.0,251.0
23,242.268,4.278337995063035,223.0,252.0
24,244.983,4.247200372009779,231.0,258.0
25,247.699,4.4506627596347945,226.0,259.0
26,250.058,4.2129130064600195,230.0,262.0
27,252.63,3.7434075385936807,238.0,262.0
28,254.574,3.8380364771586004,236.0,265.0
29,256.764,4.064025590470611,241.0,269.0
30,258.845,4.208440922717106,240.0,270.0
31,261.223,4.162363631399833,245.0,271.0
32,263.532,4.208441041525947,243.0,273.0
33,265.657,3.891959789103685,245.0,274.0
34,267.56,3.660382493674671,251.0,276.0
35,269.59,3.637567868782657,251.0,278.0
36,271.367,3.3651613631444186,251.0,279.0
37,273.119,3.0395458542354645,255.0,281.0
38,274.761,2.7556993667669922,258.0,283.0
39,276.059,2.735236552841454,262.0,284.0
40,277.413,3.0398077241825674,260.0,287.0
41,278.825,3.1036067727726073,258.0,287.0
42,280.313,3.0878845509506987,260.0,286.0
43,281.701,2.9566195223599534,254.0,288.0
44,282.787,3.014238046339406,264.0,288.0
45,284.117,2.673445529648958,265.0,289.0
46,285.114,2.8577970536761352,265.0,291.0
47,286.059,2.6768487069686997,267.0,291.0
48,287.051,2.3648253635311,269.0,292.0
49,288.066,2.2999226073935617,271.0,292.0
50,288.776,2.7250365135168373,271.0,293.0
51,289.852,2.0990702703816275,269.0,294.0
52,290.454,2.250307534538335,272.0,294.0
53,291.301,1.9950937321339064,272.0,294.0
54,291.797,2.2679927248560565,274.0,294.0
55,292.253,2.1902034152105605,275.0,296.0
56,292.733,2.1250202351977734,277.0,297.0
57,293.134,2.4054197138961007,273.0,297.0
58,293.884,2.151405122239882,275.0,298.0
59,294.491,2.470611058017834,275.0,298.0
60,295.224,2.101862031628147,280.0,298.0
61,295.866,2.2013732077955344,278.0,298.0
62,296.376,2.229041049420131,281.0,300.0
63,296.906,2.1911558593582523,278.0,300.0
64,297.52,1.8048822676285565,276.0,300.0
65,297.819,1.9287921090672264,282.0,300.0
66,298.236,1.7222961417828233,283.0,300.0
67,298.518,2.1664893260757134,279.0,300.0
68,298.883,2.0907680406970064,279.0,300.0
69,299.196,2.0913115502000172,281.0,300.0
70,299.528,1.8690147136927522,282.0,300.0
71,299.685,1.6515977113086588,285.0,300.0
72,299.679,1.9964866641177446,276.0,300.0
73,299.771,1.408033735391308,285.0,300.0
74,299.67,1.8146900561803934,282.0,300.0
75,299.748,1.6126053453960765,282.0,300.0
76,299.724,1.6473688111652471,282.0,300.0
77,299.694,1.7585118708726424,282.0,300.0
78,299.571,2.242088089259653,282.0,300.0
79,299.682,1.8705282676292276,279.0,300.0
80,299.613,1.9998077407590957,282.0,300.0
81,299.577,2.102396489723097,282.0,300.0
82,299.712,1.7409928202034606,279.0,300.0
83,299.766,1.4997479788284431,285.0,300.0
84,299.76,1.580632784678339,282.0,300.0
85,299.619,1.9783424880439684,285.0,300.0
86,299.73,1.6538137742805266,285.0,300.0
87,299.664,1.8673789117369834,282.0,300.0
88,299.55,2.259977875997904,282.0,300.0
89,299.724,1.6308966858755953,282.0,300.0
90,299.736,1.7396275463443318,279.0,300.0
91,299.694,1.8188908708331022,279.0,300.0
92,299.781,1.3867368171358254,285.0,300.0
93,299.454,2.5471325053871854,282.0,300.0
94,299.694,1.7065649709284443,285.0,300.0
95,299.718,1.7928959813664598,279.0,300.0
96,299.607,1.9805431073319255,282.0,300.0
97,299.587,2.1434623859540896,279.0,300.0
98,299.733,1.5961550676547689,279.0,300.0
99,299.652,1.8261697620977078,285.0,300.0
100,299.64,2.042645343665904,279.0,300.0
101,299.865,1.2258772369205653,282.0,300.0
102,299.697,1.8657950048169818,282.0,300.0
103,299.616,2.0862751496387046,282.0,300.0
104,299.721,1.7138141672888576,276.0,300.0
105,299.652,1.8891521907988247,282.0,300.0
106,299.604,2.1728285712407223,279.0,300.0
107,299.598,2.1467174942222838,279.0,300.0
108,299.691,1.7859224507239948,282.0,300.0
109,299.685,1.8589714898297927,282.0,300.0
110,299.682,1.9274013593437147,279.0,300.0
111,299.745,1.642551369059732,282.0,300.0
112,299.682,1.9133415795408826,282.0,300.0
113,299.625,2.0065829163032363,282.0,300.0
114,299.523,2.4032209636236117,279.0,300.0
115,299.535,2.325677320696059,279.0,300.0
116,299.688,1.7727537900114616,285.0,300.0
117,299.622,2.0305457394503574,279.0,300.0
118,299.644,1.987778659710381,282.0,300.0
119,299.734,1.6245750213517383,282.0,300.0
120,299.547,2.249397919444223,279.0,300.0
121,299.695,1.7877290063094016,282.0,300.0
122,299.655,1.9667168072704317,282.0,300.0
123,299.724,1.5342177159712371,288.0,300.0
124,299.709,1.6032214444673574,285.0,300.0
125,299.701,1.872324491107244,279.0,300.0
126,299.688,1.752328736282094,282.0,300.0
127,299.652,1.8261697620977078,285.0,300.0
128,299.556,2.0481367141868243,282.0,300.0
129,299.559,2.207378309216615,279.0,300.0
130,299.61,2.1656176947928736,282.0,300.0
131,299.649,2.1113500420347164,279.0,300.0
132,299.649,1.928678044672049,282.0,300.0
133,299.655,1.7944288785014582,282.0,300.0
134,299.736,1.5067527998978465,282.0,300.0
135,299.676,1.8646779882864497,282.0,300.0
136,299.64,1.8869022232219665,285.0,300.0
137,299.799,1.4087579635977217,285.0,300.0
138,299.826,1.3098564806878652,282.0,300.0
139,299.7,1.7595453958338214,285.0,300.0
140,299.715,1.7440685192961887,282.0,300.0
141,299.823,1.3128865145167725,285.0,300.0
142,299.541,2.3229978476098507,273.0,300.0
143,299.649,1.8427693832924399,279.0,300.0
144,299.646,1.985619298858671,279.0,300.0
145,299.619,2.1609810272188876,282.0,300.0
146,299.781,1.569407212931048,282.0,300.0
147,299.667,1.9504130331804082,282.0,300.0
148,299.592,2.077386820021731,282.0,300.0
149,299.565,2.3042949030017836,279.0,300.0
150,299.694,1.9058761764605803,279.0,300.0
151,299.688,1.6788853445068845,285.0,300.0
152,299.655,1.9062987698679348,279.0,300.0
153,299.7,1.8444511378727277,276.0,300.0
154,299.578,2.2194404700284256,282.0,300.0
155,299.685,1.7798244295435435,282.0,300.0
156,299.589,2.0352098171933037,282.0,300.0
157,299.736,1.5595845600671991,285.0,300.0
158,299.685,1.9114850247909345,279.0,300.0
159,299.775,1.3595495577580097,285.0,300.0
160,299.721,1.5070364959084435,288.0,300.0
161,299.634,1.880968899264419,285.0,300.0
162,299.73,1.631900732275098,282.0,300.0
163,299.67,1.9532280972789633,282.0,300.0
164,299.685,1.8734393504995028,282.0,300.0
165,299.784,1.3969051506813195,285.0,300.0
166,299.775,1.5742855522426673,282.0,300.0
167,299.661,1.949379131928933,282.0,300.0
168,299.658,1.7975082753634268,282.0,300.0
169,299.629,1.9857892637437635,282.0,300.0
170,299.629,2.0202373622918666,282.0,300.0
171,299.658,1.8997462988515075,282.0,300.0
172,299.628,2.0711388171728133,279.0,300.0
173,299.658,1.8662893666310165,282.0,300.0
174,299.676,1.7552845923097486,285.0,300.0
175,299.706,1.627748137765791,282.0,300.0
176,299.643,2.0276959831296204,279.0,300.0
177,299.709,1.7533736053676636,282.0,300.0
178,299.671,1.9320349375722996,276.0,300.0
179,299.706,1.76055786613221,282.0,300.0
180,299.529,2.2775335343305043,282.0,300.0
181,299.562,2.2059365358051446,282.0,300.0
182,299.7,1.824828759089466,282.0,300.0
183,299.661,1.902650519669863,276.0,300.0
184,299.634,1.9141692715117957,285.0,300.0
185,299.673,1.7827145032225438,285.0,300.0
186,299.698,1.9154101388475524,277.0,300.0
187,299.625,2.0110631516687882,279.0,300.0
188,299.673,1.8665666342244525,279.0,300.0
189,299.628,1.9913854473707495,282.0,300.0
190,299.763,1.5022752743755055,282.0,300.0
191,299.607,2.069432530912762,282.0,300.0
192,299.601,2.0595628176872878,279.0,300.0
193,299.586,2.1318076836337747,279.0,300.0
194,299.655,1.824273828129977,285.0,300.0
195,299.601,1.9884162039170772,282.0,300.0
196,299.613,1.9588851421152795,282.0,300.0
197,299.628,2.0841343526749903,279.0,300.0
198,299.481,2.352793871124285,279.0,300.0
199,299.685,1.6210413319838577,285.0,300.0
200,299.706,1.800989727899635,279.0,300.0
201,299.655,1.925090906944397,282.0,300.0
202,299.742,1.677330021194398,282.0,300.0
203,299.634,1.9743464741529029,282.0,300.0
204,299.697,1.7666892765848787,282.0,300.0
205,299.733,1.7826135307463589,282.0,300.0
206,299.838,1.283649484867267,282.0,300.0
207,299.661,1.8740541614371766,282.0,300.0
208,299.709,1.7275181619884636,285.0,300.0
209,299.671,1.8912321380518047,280.0,300.0
210,299.652,2.040317622332366,276.0,300.0
211,299.657,1.924409260006821,282.0,300.0
212,299.786,1.3914754758888135,285.0,300.0
213,299.682,1.8608804367825462,282.0,300.0
214,299.655,1.9984931823751615,279.0,300.0
215,299.718,1.9048559000617344,279.0,300.0
216,299.622,2.104546506970088,279.0,300.0
217,299.733,1.635148617098764,282.0,300.0
218,299.727,1.6883337940111252,279.0,300.0
219,299.703,1.7677078378510402,282.0,300.0
220,299.679,1.9616215231282514,279.0,300.0
221,299.73,1.696791089085513,279.0,300.0
222,299.694,1.732733101201683,285.0,300.0
223,299.61,2.028275129266244,282.0,300.0
224,299.712,1.8463629112392828,279.0,300.0
225,299.613,1.9680525907607243,282.0,300.0
226,299.658,1.8371271050202271,282.0,300.0
227,299.646,1.999170828118498,282.0,300.0
228,299.727,1.6989617417705436,285.0,300.0
229,299.799,1.4087579635977217,279.0,300.0
230,299.694,1.778865930867192,285.0,300.0
231,299.667,2.0538040315473136,279.0,300.0
232,299.721,1.907657988214869,276.0,300.0
233,299.787,1.4756798433264582,279.0,300.0
234,299.754,1.7628057181663555,276.0,300.0
235,299.724,1.7169228287841012,282.0,300.0
236,299.652,2.1097146726512563,276.0,300.0
237,299.661,1.8931663952225648,282.0,300.0
238,299.613,1.9217780829221671,285.0,300.0
239,299.616,1.9663529693318031,282.0,300.0
240,299.583,2.107868828935994,276.0,300.0
241,299.587,2.06504987833224,282.0,300.0
242,299.574,2.050493599112175,282.0,300.0
243,299.685,1.8541237822756065,273.0,300.0
244,299.592,2.107495195724062,282.0,300.0
245,299.742,1.507791762810767,285.0,300.0
246,299.733,1.6296352352597192,282.0,300.0
247,299.745,1.6093399268022899,282.0,300.0
248,299.682,1.7767599725342755,282.0,300.0
249,299.478,2.3692859683879446,273.0,300.0
250,299.673,1.7470177446150912,282.0,300.0
251,299.694,1.7687181799257905,279.0,300.0
252,299.565,2.339182549524513,279.0,300.0
253,299.652,1.9730423208841719,282.0,300.0
254,299.613,1.9542852913533375,285.0,300.0
255,299.772,1.5066572271090728,282.0,300.0
256,299.634,2.072207518565648,276.0,300.0
257,299.64,1.9754493159785194,279.0,300.0
258,299.571,2.1851679569314575,273.0,300.0
259,299.541,2.211858720623901,279.0,300.0
260,299.598,2.078556229694063,276.0,300.0
261,299.67,1.7592896293674898,285.0,300.0
262,299.743,1.6670185961770192,282.0,300.0
263,299.8,1.525778489820852,282.0,300.0
264,299.811,1.4040224357181759,282.0,300.0
265,299.652,1.968475552299291,279.0,300.0
266,299.775,1.4367933045501013,282.0,300.0
267,299.724,1.8530580131231729,279.0,300.0
268,299.727,1.7042508618158303,279.0,300.0
269,299.652,1.977598543688784,279.0,300.0
270,299.715,1.7594814577028086,282.0,300.0
271,299.832,1.3174885198740822,282.0,300.0
272,299.757,1.6607079815548547,279.0,300.0
273,299.835,1.3941933151467911,282.0,300.0
274,299.706,1.6874726664452968,285.0,300.0
275,299.643,1.9135179643786988,285.0,300.0
276,299.637,1.9588851421152798,282.0,300.0
277,299.709,1.8039731150990026,282.0,300.0
278,299.706,1.8059800663351742,282.0,300.0
279,299.655,1.8341142276314202,279.0,300.0
280,299.421,2.5059447320322126,279.0,300.0
281,299.643,1.8658914759438714,282.0,300.0
282,299.673,1.7977961508469198,285.0,300.0
283,299.622,1.999278869992878,282.0,300.0
284,299.79,1.4972975656161338,282.0,300.0
285,299.601,2.259601513541713,276.0,300.0
286,299.727,1.7252451999643412,279.0,300.0
287,299.517,2.263119749372534,282.0,300.0
288,299.712,1.7096947095899897,279.0,300.0
289,299.817,1.3051861936137696,282.0,300.0
290,299.685,1.8686291766961147,279.0,300.0
291,299.67,1.7997499826364773,282.0,300.0
292,299.592,2.073049927039868,282.0,300.0
293,299.694,1.763622408567095,285.0,300.0
294,299.643,2.027695983129621,276.0,300.0
295,299.706,1.825805027926038,279.0,300.0
296,299.625,1.891130614209394,282.0,300.0
297,299.73,1.5527717153529044,285.0,300.0
298,299.655,1.9939847040536698,279.0,300.0
299,299.682,1.9227261895548207,276.0,300.0
